Player_initial_last,tournament id,player id,hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,made_cut,pos,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,player,Unnamed: 2,Unnamed: 3,Unnamed: 4,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
C. Conners,401219794,9126,288,276,77.5,73.9,79,0,14,0,4,1,NA,0,0,0,77.5,87.9,79,Corey Conners,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T17,0.02,0.51,0.53,0.91,1.95,1.97
C. Davis,401219794,10863,288,274,85.5,82.5,79,6,19.6,7,4,1,NA,0,0,0,91.5,102.1,86,Cameron Davis,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T6,0.97,0.51,0.26,0.73,1.5,2.47
C. Hadley,401219794,5704,144,149,24.5,17.2,21,0,1.6,0,2,0,NA,0,0,0,24.5,18.8,21,Chesson Hadley,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.24,-1.94,-0.06,-1,-2.99,-3.23
C. Hoffman,401219794,205,288,274,83,81.2,78,3,13.8,3,4,1,NA,0,0,0,86,95,81,Charley Hoffman,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T6,1.68,-0.13,-0.11,1.03,0.79,2.47
C. Kirk,401219794,3449,288,285,60.5,55.4,65,3,7.2,3,4,1,NA,0,0,0,63.5,62.6,68,Chris Kirk,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T53,-0.4,0.03,0.65,-0.56,0.12,-0.28
C. Ortiz,401219794,5532,144,143,28.5,25.6,33,0,0.4,0,2,0,NA,0,0,0,28.5,26,33,Carlos Ortiz,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.57,-0.47,-1.05,0.73,-0.8,-0.23
C. Pan,401219794,6017,288,275,81,78.1,78,6,25.4,6,4,1,NA,0,0,0,87,103.5,84,C.T. Pan,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T12,1.78,0.61,0.33,-0.5,0.44,2.22
C. Percy,401219794,1121,288,287,53.5,49.6,63,0,6.2,0,4,1,NA,0,0,0,53.5,55.8,63,Cameron Percy,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T59,-0.31,-0.56,0.69,-0.61,-0.47,-0.78
C. Reavie,401219794,769,288,284,61,57.3,69,0,1.2,0,4,1,NA,0,0,0,61,58.5,69,Chez Reavie,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,-0.83,0.23,0.54,0.03,0.8,-0.03
C. Schwartzel,401219794,1097,288,280,71,67.8,70,3,13.4,3,4,1,NA,0,0,0,74,81.2,73,Charl Schwartzel,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T32,1.07,-0.26,-0.03,0.19,-0.1,0.97
C. Seiffert,401219794,8975,288,276,75,73.8,78,6,23.2,7,4,1,NA,0,0,0,81,97,85,Chase Seiffert,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T17,2.17,-0.25,-0.16,0.22,-0.2,1.97
C. Stroud,401219794,1352,144,145,23,20.9,30,0,0,0,2,0,NA,0,0,0,23,20.9,30,Chris Stroud,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.86,-0.19,-1.38,-0.52,-2.08,-1.23
C. Tringale,401219794,4645,288,282,70.5,65.9,65,0,8.4,0,4,1,NA,0,0,0,70.5,74.3,65,Cameron Tringale,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T37,1.21,0.08,-0.7,-0.13,-0.74,0.47
C. Villegas,401219794,1264,288,278,74.5,71.9,73,9,19.2,10,4,1,NA,0,0,0,83.5,91.1,83,Camilo Villegas,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T23,-1.43,0.91,1.82,0.17,2.9,1.47
D. Frittelli,401219794,5167,144,146,26.5,22.7,25,3,1.8,3,2,0,NA,0,0,0,29.5,24.5,28,Dylan Frittelli,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-2.24,0.05,-0.16,0.62,0.51,-1.73
D. Ghim,401219794,11456,288,278,78.5,74.3,73,6,23.4,7,4,1,NA,0,0,0,84.5,97.7,80,Doug Ghim,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T23,0.2,0.34,0.74,0.19,1.26,1.47
D. Hearn,401219794,928,144,144,27.5,24.1,31,3,1.4,3,2,0,NA,0,0,0,30.5,25.5,34,David Hearn,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.73,-0.23,-0.79,-0.44,-1.46,-0.73
D. McCarthy,401219794,10054,288,274,83,81.2,78,6,30.2,7,4,1,NA,0,0,0,89,111.4,85,Denny McCarthy,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T6,1.08,0.71,0.32,0.36,1.39,2.47
D. Points,401219794,1196,144,145,24.5,22,29,0,0.8,0,2,0,NA,0,0,0,24.5,22.8,29,D.A. Points,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.5,0.48,-0.94,-1.26,-1.73,-1.23
D. Redman,401219794,11448,288,279,71,67.7,74,0,5.6,0,4,1,NA,0,0,0,71,73.3,74,Doc Redman,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T28,0.11,-0.05,0.52,0.64,1.11,1.22
D. Trahan,401219794,431,288,284,68.5,61.5,65,3,7,3,4,1,NA,0,0,0,71.5,68.5,68,D.J. Trahan,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,-1.62,0.11,1.34,0.14,1.58,-0.03
E. Grillo,401219794,5882,288,281,66.5,63.2,73,0,7.6,0,4,1,NA,0,0,0,66.5,70.8,73,Emiliano Grillo,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T35,-0.06,0.25,0.44,0.09,0.78,0.72
F. Gomez,401219794,3375,144,142,32.5,29.3,33,0,0.2,0,2,0,NA,0,0,0,32.5,29.5,33,Fabian Gomez,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.5,1.3,-2.18,0.66,-0.23,0.27
G. Chalmers,401219794,74,144,148,22.5,16.5,25,0,0.2,0,2,0,NA,0,0,0,22.5,16.7,25,Greg Chalmers,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.52,0.18,-1.25,-0.14,-1.2,-2.73
G. Murray,401219794,5462,288,285,66,58.9,64,0,1.2,0,4,1,NA,0,0,0,66,60.1,64,Grayson Murray,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T53,-0.94,0.71,-0.23,0.17,0.66,-0.28
H. Lebioda,401219794,11387,288,283,63,59.1,70,0,0.2,0,4,1,NA,0,0,0,63,59.3,70,Hank Lebioda,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T44,0.5,0.64,-0.71,-0.21,-0.28,0.22
H. Mahan,401219794,957,144,150,20,14,20,0,0.8,0,2,0,NA,0,0,0,20,14.8,20,Hunter Mahan,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.53,-2.85,-1.88,0.46,-4.26,-3.73
H. Norlander,401219794,5573,288,273,96,89.9,80,6,19,6,4,1,NA,0,0,0,102,108.9,86,Henrik Norlander,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T4,1.78,0.27,-0.17,0.85,0.94,2.72
H. Stenson,401219794,576,144,144,24,22.4,32,0,0.8,0,2,0,NA,0,0,0,24,23.2,32,Henrik Stenson,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.91,0.11,0.37,0.7,1.18,-0.73
H. Swafford,401219794,5504,144,146,23.5,20.5,27,0,0.6,0,2,0,NA,0,0,0,23.5,21.1,27,Hudson Swafford,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.95,-0.69,0.15,0.76,0.22,-1.73
J. Bramlett,401219794,5902,288,283,62,58.8,71,0,0.6,0,4,1,NA,0,0,0,62,59.4,71,Joseph Bramlett,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T44,0.51,0.16,-0.45,0,-0.29,0.22
J. Byrd,401219794,508,144,149,19,14.8,25,3,5,4,2,0,NA,0,0,0,22,19.8,29,Jonathan Byrd,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.98,0.4,-2.04,-0.6,-2.25,-3.23
J. Dufner,401219794,110,144,146,25,21.6,26,3,1.2,3,2,0,NA,0,0,0,28,22.8,29,Jason Dufner,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.81,-1.47,0.62,0.94,0.08,-1.73
J. Herman,401219794,3598,144,144,28.5,25.7,29,0,6,0,2,0,NA,0,0,0,28.5,31.7,29,Jim Herman,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.95,0.25,0.94,0.03,1.22,-0.73
J. Holmes,401219794,1067,288,291,57,49,53,0,11.2,0,4,1,NA,0,0,0,57,60.2,53,J.B. Holmes,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,65,-1.27,0.62,-0.98,-0.15,-0.51,-1.78
J. Lovemark,401219794,1676,144,147,21.5,17.4,27,0,0,0,2,0,NA,0,0,0,21.5,17.4,27,Jamie Lovemark,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.2,0.12,-1.04,-0.11,-1.03,-2.23
J. Poston,401219794,10505,288,272,83.5,83.1,83,9,24.4,10,4,1,NA,0,0,0,92.5,107.5,93,J.T. Poston,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,3,2.12,-0.02,0.87,0,0.85,2.97
J. Potter,401219794,2883,144,147,22.5,19,25,3,6.2,3,2,0,NA,0,0,0,25.5,25.2,28,Ted Potter Jr.,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.88,-1.48,0.01,0.11,-1.35,-2.23
J. Spaun,401219794,10166,144,142,29,27.6,34,0,0.2,0,2,0,NA,0,0,0,29,27.8,34,J.J. Spaun,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.25,-0.32,1.2,0.64,1.52,0.27
J. Vegas,401219794,1030,144,145,32.5,27,25,0,12.2,0,2,0,NA,0,0,0,32.5,39.2,25,Jhonattan Vegas,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.67,-0.01,-0.31,-0.24,-0.56,-1.23
J. Walker,401219794,446,288,284,67,60.4,66,6,12.4,7,4,1,NA,0,0,0,73,72.8,73,Jimmy Walker,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,-0.31,-0.31,0.84,-0.25,0.28,-0.03
K. Aphibarnrat,401219794,5771,144,145,26.5,22.6,29,0,5.8,0,2,0,NA,0,0,0,26.5,28.4,29,Kiradech Aphibarnrat,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.46,0.09,-2.04,0.25,-1.69,-1.23
K. Bradley,401219794,4513,288,273,90,85.5,84,6,18.8,7,4,1,NA,0,0,0,96,104.3,91,Keegan Bradley,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T4,0.75,0.58,0.62,0.78,1.97,2.72
K. Chappell,401219794,3857,288,278,78,73.6,72,6,18.8,7,4,1,NA,0,0,0,84,92.4,79,Kevin Chappell,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T23,2.24,0.07,0,-0.84,-0.77,1.47
K. Choi,401219794,77,144,149,17.5,13.8,23,0,0.2,0,2,0,NA,0,0,0,17.5,14,23,K.J. Choi,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.44,-0.52,-0.15,-1.13,-1.79,-3.23
K. Hickok,401219794,10363,144,146,25,20.2,30,0,0,0,2,0,NA,0,0,0,25,20.2,30,Kramer Hickok,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.78,-0.95,1.33,-0.34,0.05,-1.73
K. Kraft,401219794,6689,288,284,67,61.7,65,6,13,7,4,1,NA,0,0,0,73,74.7,72,Kelly Kraft,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,0.52,-0.35,0.06,-0.27,-0.55,-0.03
K. Lee,401219794,7083,288,284,61.5,56.9,67,0,12,0,4,1,NA,0,0,0,61.5,68.9,67,Kyoung-Hoon Lee,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,0.33,-0.01,0.32,-0.66,-0.36,-0.03
K. Mitchell,401219794,8906,144,146,24,20,28,3,1.6,3,2,0,NA,0,0,0,27,21.6,31,Keith Mitchell,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.26,-1.02,0.01,0.54,-0.47,-1.73
K. Stadler,401219794,860,144,160,11,-3.4,6,0,0.2,0,2,0,NA,0,0,0,11,-3.2,6,Kevin Stadler,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-2.37,-1.62,-2.75,-1.99,-6.36,-8.73
K. Stanley,401219794,1778,144,142,30.5,28.7,33,0,5.4,0,2,0,NA,0,0,0,30.5,34.1,33,Kyle Stanley,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.57,0.08,0.45,0.32,0.84,0.27
K. Tway,401219794,3793,144,143,28,26.1,32,0,0,0,2,0,NA,0,0,0,28,26.1,32,Kevin Tway,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-2.08,1.12,0.45,0.28,1.85,-0.23
K. Ventura,401219794,4351896,288,274,89,84.2,78,3,25,3,4,1,NA,0,0,0,92,109.2,81,Kristoffer Ventura,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T6,1.04,0.05,0.17,1.21,1.43,2.47
L. Donald,401219794,601,144,146,23.5,20.5,27,0,0.4,0,2,0,NA,0,0,0,23.5,20.9,27,Luke Donald,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.59,0.37,-0.9,-0.61,-1.14,-1.73
L. Glover,401219794,676,144,145,24.5,22,29,0,0.4,0,2,0,NA,0,0,0,24.5,22.4,29,Lucas Glover,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-2.55,1.1,-0.35,0.57,1.32,-1.23
L. List,401219794,1059,144,142,30.5,28.7,33,0,5.8,0,2,0,NA,0,0,0,30.5,34.5,33,Luke List,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.06,0.46,-0.54,1.42,1.33,0.27
M. Anderson,401219794,6648,144,144,26,23,32,0,0.6,0,2,0,NA,0,0,0,26,23.6,32,Mark Anderson,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.9,-0.16,0.87,0.45,1.17,-0.73
M. Daffue,401219794,7110,288,275,80,77.7,80,6,17.6,7,4,1,NA,0,0,0,86,95.3,87,MJ Daffue,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T12,-0.4,0.36,1.96,0.3,2.62,2.22
M. Every,401219794,1411,144,144,31.5,27.9,27,3,7.6,3,2,0,NA,0,0,0,34.5,35.5,30,Matt Every,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.65,0.81,-1.01,0.12,-0.08,-0.73
M. Gligic,401219794,4859,288,282,67.5,62.3,71,0,6.4,0,4,1,NA,0,0,0,67.5,68.7,71,Michael Gligic,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T37,0.34,-0.65,0.65,0.13,0.13,0.47
M. Hubbard,401219794,9143,144,145,29,25.3,26,0,5.8,0,2,0,NA,0,0,0,29,31.1,26,Mark Hubbard,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.9,-0.29,-0.11,0.07,-0.33,-1.23
M. Jones,401219794,1367,144,143,28,26.1,32,0,0.6,0,2,0,NA,0,0,0,28,26.7,32,Matt Jones,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.42,0.84,-0.64,-0.85,-0.65,-0.23
M. Kim,401219794,8974,144,142,29,27.6,34,0,0.4,0,2,0,NA,0,0,0,29,28,34,Michael Kim,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.55,0.95,0.41,-0.53,0.83,0.27
M. Laird,401219794,2571,288,279,69,67.1,74,3,12.6,3,4,1,NA,0,0,0,72,79.7,77,Martin Laird,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T28,-0.04,0.29,0.72,0.25,1.25,1.22
M. McNealy,401219794,9530,288,276,88.5,82.3,73,6,20.6,6,4,1,NA,0,0,0,94.5,102.9,79,Maverick McNealy,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T17,2.77,0.54,-0.39,-0.96,-0.81,1.97
M. NeSmith,401219794,6954,288,276,74,72.2,80,6,16.8,7,4,1,NA,0,0,0,80,89,87,Matthew NeSmith,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T17,0.76,0.5,0.34,0.36,1.21,1.97
M. Schwab,401219794,5729,144,149,17.5,13.8,23,0,0.6,0,2,0,NA,0,0,0,17.5,14.4,23,Matthias Schwab,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-2.7,0.25,-0.98,0.2,-0.53,-3.23
M. Trainer,401219794,6151,144,146,24,20,28,0,0.4,0,2,0,NA,0,0,0,24,20.4,28,Martin Trainer,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.81,0.21,-1.6,-1.15,-2.54,-1.73
N. Lashley,401219794,1600,144,143,32.5,28,33,0,0,0,2,0,NA,0,0,0,32.5,28,33,Nate Lashley,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,1.08,1.15,-1.34,-1.12,-1.31,-0.23
N. Taylor,401219794,3792,144,146,26,20.6,28,0,5.6,0,2,0,NA,0,0,0,26,26.2,28,Nick Taylor,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.92,-0.35,-0.83,-1.47,-2.65,-1.73
N. Watney,401219794,1042,144,142,29,27.6,34,0,0.6,0,2,0,NA,0,0,0,29,28.2,34,Nick Watney,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.37,0.42,0.91,0.32,1.64,0.27
P. Kizzire,401219794,3980,288,287,64,55.9,60,0,11.8,0,4,1,NA,0,0,0,64,67.7,60,Patton Kizzire,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T59,0.44,-0.64,-0.5,-0.07,-1.22,-0.78
P. Malnati,401219794,5692,288,270,92.5,90.7,85,9,25,10,4,1,NA,0,0,0,101.5,115.7,95,Peter Malnati,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,2,2.29,0.08,1.11,-0.02,1.18,3.47
P. Perez,401219794,707,144,144,27.5,24.1,31,0,0.8,0,2,0,NA,0,0,0,27.5,24.9,31,Pat Perez,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-2.23,0.87,0.3,0.34,1.5,-0.73
P. Rodgers,401219794,6825,144,143,35.5,30.2,31,5,0.8,0,2,0,NA,0,0,0,40.5,31,31,Patrick Rodgers,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.35,-0.28,0.8,0.61,1.12,-0.23
R. Armour,401219794,1750,288,284,67,61.8,62,3,8.4,3,4,1,NA,0,0,0,70,70.2,65,Ryan Armour,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,1.48,-0.86,-0.33,-0.32,-1.51,-0.03
R. Cabrera Bello,401219794,4321,288,284,64,59.6,64,3,13,3,4,1,NA,0,0,0,67,72.6,67,Rafa Cabrera Bello,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T46,-0.14,0.16,0.52,-0.58,0.11,-0.03
R. Knox,401219794,4483,144,149,17.5,13.8,23,0,0.6,0,2,0,NA,0,0,0,17.5,14.4,23,Russell Knox,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.15,-0.67,-0.82,-0.58,-2.08,-3.23
R. Oppenheim,401219794,1733,144,146,23.5,20.5,27,0,0.4,0,2,0,NA,0,0,0,23.5,20.9,27,Rob Oppenheim,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.44,0.79,-1.71,-0.37,-1.29,-1.73
R. Sabbatini,401219794,377,288,275,86.5,81.6,77,9,20.6,10,4,1,NA,0,0,0,95.5,102.2,87,Rory Sabbatini,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T12,1.64,0.96,-0.47,0.1,0.58,2.22
R. Shelton,401219794,9531,144,147,31.5,24.2,23,0,5.4,0,2,0,NA,0,0,0,31.5,29.6,23,Robby Shelton,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-1.6,0.97,-0.96,-0.64,-0.63,-2.23
R. Sloan,401219794,6090,288,280,66.5,64.5,73,0,7,0,4,1,NA,0,0,0,66.5,71.5,73,Roger Sloan,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T32,0.6,-0.23,0.63,-0.03,0.37,0.97
R. Streb,401219794,5619,144,144,25.5,23.5,31,0,0.8,0,2,0,NA,0,0,0,25.5,24.3,31,Robert Streb,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.23,-0.39,-1.13,0.56,-0.96,-0.73
R. Werenski,401219794,9804,288,287,60.5,54.2,61,0,1,0,4,1,NA,0,0,0,60.5,55.2,61,Richy Werenski,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T59,0.78,0.1,-1.55,-0.12,-1.57,-0.78
S. Brown,401219794,4591,144,155,15,6.3,17,0,0.2,0,2,0,NA,0,0,0,15,6.5,17,Scott Brown,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.9,-1.08,-1.2,-3.06,-5.33,-6.23
S. Burns,401219794,9938,144,145,24.5,22,29,0,0.8,0,2,0,NA,0,0,0,24.5,22.8,29,Sam Burns,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.01,-1.44,-0.6,0.8,-1.24,-1.23
S. Cappelen,401219794,9564,144,144,30,26.8,28,0,1,0,2,0,NA,0,0,0,30,27.8,28,Sebastian Cappelen,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,-0.76,-0.42,0.6,-0.15,0.03,-0.73
S. Cink,401219794,78,288,275,79,77.5,78,0,12,0,4,1,NA,0,0,0,79,89.5,78,Stewart Cink,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T12,-0.59,0.79,1.43,0.6,2.81,2.22
S. Garcia,401219794,158,288,269,93.5,92.2,87,11,27.8,7,4,1,NA,0,0,0,104.5,120,94,Sergio Garcia,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,1,0.71,-0.11,1.75,1.37,3.01,3.72
S. Harrington,401219794,1210,144,145,32.5,22.9,31,0,0.4,0,2,0,NA,0,0,0,32.5,23.3,31,Scott Harrington,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,CUT,0.45,-1.62,0.25,-0.31,-1.68,-1.23
S. Im,401219794,11382,288,279,69,67.1,74,3,7.6,3,4,1,NA,0,0,0,72,74.7,77,Sungjae Im,NA,NA,NA,Sanderson Farms Championship,"Country Club of Jackson - Jackson, MS",2020-10-04,6.6,2021,0,T28,1.11,-0.69,0.01,0.79,0.11,1.22
